Tournament,Round,Course,Player,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Par,Total,vsPar,Rating
A,1,Laakspohja (Par62),__PAR__,4,3,4,3,3,4,3,3,3,3,3,4,4,5,3,3,3,4,62,62,,
A,1,Laakspohja (Par62),Artur,4,2,5,3,3,4,3,4,4,3,3,4,3,4,3,2,3,3,62,60,-2,963
A,1,Laakspohja (Par62),Loro,4,2,4,4,4,5,4,2,4,3,4,4,4,6,3,3,5,5,62,70,8,851
A,1,Laakspohja (Par62),Stasiu,4,3,5,2,3,4,6,3,5,3,5,4,3,7,4,4,3,4,62,72,10,828
A,1,Laakspohja (Par62),kaleb,6,4,5,4,4,6,4,2,4,4,3,4,3,6,2,3,5,4,62,73,11,817
A,1,Laakspohja (Par62),kajtek,4,3,6,3,4,5,3,3,4,4,4,4,5,6,5,4,3,6,62,76,14,783
A,1,Laakspohja (Par62),Przemo,8,3,5,4,3,5,4,2,4,3,3,5,5,7,2,3,4,7,62,77,15,772
A,1,Laakspohja (Par62),Jasiu,6,3,7,4,3,6,3,4,5,4,3,5,5,6,3,3,4,6,62,80,18,738
A,2,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
A,3,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
A,4,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
A,5,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
A,6,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
A,7,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
A,8,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
A,9,(paste round here),__PAR__,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,54,54,,
B,1,0,__PAR__,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Score,Score,,
B,1,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Score,54,0,0
B,2,0,__PAR__,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
B,2,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,Score,vs Par,Rating
B,2,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,54,0,0
B,3,0,__PAR__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
B,3,0,ROUND 3,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,3,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,Score,vs Par,Rating
B,3,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,54,0,0
B,4,0,__PAR__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
B,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,4,0,ROUND 4,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,4,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,Score,vs Par,Rating
B,4,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,54,0,0
B,5,0,__PAR__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,5,0,ROUND 5,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,5,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,Score,vs Par,Rating
B,5,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,54,0,0
B,6,0,__PAR__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,6,0,ROUND 6,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,6,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,Score,vs Par,Rating
B,6,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,54,0,0
B,7,0,__PAR__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,7,0,ROUND 7,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,7,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,Score,vs Par,Rating
B,7,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,54,0,0
B,8,0,__PAR__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,8,0,ROUND 8,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,8,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,Score,vs Par,Rating
B,8,0,Par,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,54,0,0
B,9,0,__PAR__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,9,0,ROUND 9,0,Course:,(paste round here),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
B,9,0,Hole,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,,Score,vs Par,Rating
